representation,method,regime,seed,budget,split,trees,n,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,error_rate,ece,brier,auroc,auprc
presto_primary,pseudo_label,none,42,0,target_val,500,2751,0.7502558853633572,0.9032655576093653,0.8196812971764048,0.7353207220670941,640,488,157,1466,0.23446019629225737,0.08265964238747053,0.16799879673343635,0.8294401074098837,0.8565333360544585
presto_primary,target_full,none,42,9249,target_val,500,2751,0.8884913536076327,0.9180529882932841,0.9030303030303031,0.8761364232246562,941,187,133,1490,0.1163213376953835,0.035631855438063575,0.08630585085176233,0.9453648352800829,0.9527880408652745
presto_primary,source_only,none,43,0,target_val,500,2751,0.7627206645898235,0.9051139864448552,0.8278388278388278,0.749986071236612,671,457,154,1469,0.22210105416212286,0.07407424531501557,0.170233619971775,0.8134796563582894,0.8337477794024142
presto_primary,coral,none,43,0,target_val,500,2751,0.7219708396178984,0.884781269254467,0.7951273532668881,0.6972665211520561,575,553,187,1436,0.2689930934205743,0.06893221454385712,0.19042158390301397,0.7738214627495706,0.8038530424417925
presto_primary,importance,none,43,0,target_val,500,2751,0.7577639751552795,0.9020332717190388,0.8236286919831224,0.7435698273488811,660,468,159,1464,0.22791712104689205,0.07493290324776364,0.17108618627002178,0.8088503908793365,0.8256710614506413
presto_primary,pseudo_label,none,43,0,target_val,500,2751,0.747577766445691,0.9032655576093653,0.8180803571428571,0.7322178851876614,633,495,157,1466,0.23700472555434388,0.07575070850442132,0.16966541303848443,0.8262378573956817,0.8563158741730719
presto_primary,target_full,none,43,9249,target_val,500,2751,0.8876941457586619,0.9155884165126309,0.9014255383682135,0.8744608749229821,940,188,137,1486,0.11813885859687387,0.036956744504960636,0.08629310308998538,0.94583895946129,0.9538915936116421
presto_primary,source_only,none,44,0,target_val,500,2751,0.7627471383975026,0.9032655576093653,0.8270803949224259,0.7495051192302146,672,456,157,1466,0.222828062522719,0.08169704926430008,0.17069331920550376,0.8111778599301704,0.8281313368841203
presto_primary,coral,none,44,0,target_val,500,2751,0.7190165579528349,0.8829328404189772,0.7925884955752213,0.6932394698548787,568,560,190,1433,0.27262813522355506,0.06903440359101291,0.1909910200766863,0.7731550670110077,0.8056553509621271
presto_primary,importance,none,44,0,target_val,500,2751,0.7581733264141152,0.9001848428835489,0.8230985915492958,0.7435321377538312,662,466,162,1461,0.22828062522719011,0.08360023625082622,0.169534065140823,0.8166761709993315,0.8411528149698803
