representation,score,quantile,n,score_mean,error_rate
alphaearth,cosine_nn,4,275,0.08298246562480927,0.07272727272727272
alphaearth,cosine_nn,5,275,0.09053608030080795,0.13454545454545455
alphaearth,cosine_nn,6,275,0.10216081142425537,0.21818181818181817
alphaearth,cosine_nn,7,275,0.11678405851125717,0.32727272727272727
alphaearth,cosine_nn,8,275,0.13498932123184204,0.4254545454545455
alphaearth,cosine_nn,9,275,0.15628989040851593,0.4581818181818182
alphaearth,cosine_nn,10,275,0.2080260068178177,0.5418181818181819
alphaearth,cosine_knn,1,276,0.06459510326385498,0.010869565217391304
alphaearth,cosine_knn,2,275,0.0757419541478157,0.02181818181818182
alphaearth,cosine_knn,3,275,0.08409181237220764,0.04363636363636364
alphaearth,cosine_knn,4,275,0.09268977493047714,0.08
alphaearth,cosine_knn,5,275,0.10228452831506729,0.11272727272727273
alphaearth,cosine_knn,6,275,0.11626291275024414,0.20363636363636364
alphaearth,cosine_knn,7,274,0.13552942872047424,0.4124087591240876
alphaearth,cosine_knn,8,276,0.15794292092323303,0.47101449275362317
alphaearth,cosine_knn,9,275,0.18279598653316498,0.4254545454545455
alphaearth,cosine_knn,10,275,0.23445096611976624,0.49818181818181817
alphaearth,mahalanobis,1,276,13.302434359320399,0.014492753623188406
alphaearth,mahalanobis,2,275,14.838408647676733,0.05454545454545454
alphaearth,mahalanobis,3,275,15.723552331852899,0.09454545454545454
alphaearth,mahalanobis,4,275,16.37480804015724,0.18181818181818182
alphaearth,mahalanobis,5,275,17.037025994964615,0.20363636363636364
alphaearth,mahalanobis,6,275,17.611306528415206,0.14181818181818182
alphaearth,mahalanobis,7,275,18.19282235938551,0.27636363636363637
alphaearth,mahalanobis,8,275,18.978374776000255,0.3054545454545455
alphaearth,mahalanobis,9,275,20.31756110285603,0.4036363636363636
alphaearth,mahalanobis,10,275,24.576153465686136,0.6036363636363636
alphaearth,centroid,1,276,7.9620361328125,0.17753623188405798
alphaearth,centroid,2,275,8.547279357910156,0.11272727272727273
alphaearth,centroid,3,275,8.78713607788086,0.11636363636363636
alphaearth,centroid,4,275,8.981850624084473,0.10181818181818182
alphaearth,centroid,5,275,9.194075584411621,0.13090909090909092
alphaearth,centroid,6,275,9.441315650939941,0.16363636363636364
alphaearth,centroid,7,275,9.73335075378418,0.24363636363636362
alphaearth,centroid,8,275,10.191814422607422,0.36
alphaearth,centroid,9,275,11.078585624694824,0.52
alphaearth,centroid,10,275,12.897544860839844,0.3527272727272727
alphaearth,entropy,1,276,0.18074937646849545,0.010869565217391304
alphaearth,entropy,2,275,0.29224915128239126,0.06181818181818182
