requested_coverage,n_accepted,coverage,risk,accuracy,f1_expected_counts,representation,score
0.9,2476,0.9000363504180298,0.19305331179321486,0.8069466882067852,0.8660313901345291,alphaearth,cosine_nn
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,cosine_nn
0.5,1376,0.500181752090149,0.05377906976744186,0.9462209302325582,0.9651928504233303,alphaearth,cosine_knn
0.7,1926,0.7001090512540894,0.1261682242990654,0.8738317757009346,0.919026991002999,alphaearth,cosine_knn
0.8,2201,0.8000727008360596,0.16946842344388915,0.8305315765561109,0.8885569166417687,alphaearth,cosine_knn
0.9,2476,0.9000363504180298,0.19789983844911146,0.8021001615508885,0.863964464186563,alphaearth,cosine_knn
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,cosine_knn
0.5,1376,0.500181752090149,0.10973837209302326,0.8902616279069767,0.9385429385429386,alphaearth,mahalanobis
0.7,1926,0.7001090512540894,0.13811007268951195,0.8618899273104881,0.9111556446225785,alphaearth,mahalanobis
0.8,2201,0.8000727008360596,0.15901862789641072,0.8409813721035893,0.8937462052216151,alphaearth,mahalanobis
0.9,2476,0.9000363504180298,0.18618739903069467,0.8138126009693053,0.8702504925415142,alphaearth,mahalanobis
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,mahalanobis
0.5,1376,0.500181752090149,0.12790697674418605,0.872093023255814,0.9110212335692619,alphaearth,centroid
0.7,1926,0.7001090512540894,0.14953271028037382,0.8504672897196262,0.901840490797546,alphaearth,centroid
0.8,2201,0.8000727008360596,0.17582916855974556,0.8241708314402545,0.8846497764530551,alphaearth,centroid
0.9,2476,0.9000363504180298,0.21405492730210016,0.7859450726978998,0.8549534756431308,alphaearth,centroid
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,centroid
0.5,1376,0.500181752090149,0.07340116279069768,0.9265988372093024,0.9606544604596806,alphaearth,entropy
0.7,1926,0.7001090512540894,0.15835929387331257,0.8416407061266874,0.904118201823326,alphaearth,entropy
0.8,2201,0.8000727008360596,0.17219445706497047,0.8278055429350295,0.8866287765480108,alphaearth,entropy
0.9,2476,0.9000363504180298,0.19547657512116318,0.8045234248788369,0.8638920134983127,alphaearth,entropy
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,entropy
0.5,1376,0.500181752090149,0.07340116279069768,0.9265988372093024,0.9606544604596806,alphaearth,confidence
0.7,1926,0.7001090512540894,0.15835929387331257,0.8416407061266874,0.904118201823326,alphaearth,confidence
0.8,2201,0.8000727008360596,0.17219445706497047,0.8278055429350295,0.8866287765480108,alphaearth,confidence
0.9,2476,0.9000363504180298,0.19547657512116318,0.8045234248788369,0.8638920134983127,alphaearth,confidence
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,confidence
0.5,1376,0.500181752090149,0.07340116279069768,0.9265988372093024,0.9606544604596806,alphaearth,margin
0.7,1926,0.7001090512540894,0.15835929387331257,0.8416407061266874,0.904118201823326,alphaearth,margin
0.8,2201,0.8000727008360596,0.17219445706497047,0.8278055429350295,0.8866287765480108,alphaearth,margin
0.9,2476,0.9000363504180298,0.19547657512116318,0.8045234248788369,0.8638920134983127,alphaearth,margin
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,margin
0.5,1376,0.500181752090149,0.06943202146690518,0.9305679785330948,0.9618315918869085,alphaearth,vote_uncertainty
0.7,1926,0.7001090512540894,0.1240913811007269,0.8759086188992731,0.9202109901849502,alphaearth,vote_uncertainty
0.8,2201,0.8000727008360596,0.15008329547175528,0.8499167045282447,0.8976398285389662,alphaearth,vote_uncertainty
0.9,2476,0.9000363504180298,0.1829967689822294,0.8170032310177706,0.8693822249127966,alphaearth,vote_uncertainty
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,vote_uncertainty
0.5,1376,0.500181752090149,0.07703488372093023,0.9229651162790697,0.9586583463338534,alphaearth,tree_variance
0.7,1926,0.7001090512540894,0.16926272066458983,0.8307372793354102,0.8987577639751553,alphaearth,tree_variance
0.8,2201,0.8000727008360596,0.186278964107224,0.813721035892776,0.8794117647058823,alphaearth,tree_variance
0.9,2476,0.9000363504180298,0.20718901453957997,0.7928109854604201,0.8575395723410164,alphaearth,tree_variance
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,tree_variance
0.5,1376,0.500181752090149,0.24529528763769887,0.7547047123623012,0.8254778759594821,alphaearth,domain_probability
0.7,1926,0.7001090512540894,0.23536645351697,0.7646335464830301,0.8300916487593439,alphaearth,domain_probability
0.8,2201,0.8000727008360596,0.23226284703125372,0.7677371529687462,0.8315616729757297,alphaearth,domain_probability
0.9,2476,0.9000363504180298,0.22984865232548252,0.7701513476745174,0.8327145320526853,alphaearth,domain_probability
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,domain_probability
0.5,1376,0.500181752090149,0.24854651162790697,0.751453488372093,0.8425414364640884,presto_primary,euclidean_nn
0.7,1926,0.7001090512540894,0.24922118380062305,0.7507788161993769,0.8396793587174348,presto_primary,euclidean_nn
0.8,2201,0.8000727008360596,0.2417083144025443,0.7582916855974557,0.8385922330097088,presto_primary,euclidean_nn
0.9,2476,0.9000363504180298,0.2386914378029079,0.7613085621970921,0.830318690783807,presto_primary,euclidean_nn
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,euclidean_nn
0.5,1376,0.500181752090149,0.2543604651162791,0.7456395348837209,0.837360594795539,presto_primary,cosine_nn
0.7,1926,0.7001090512540894,0.24922118380062305,0.7507788161993769,0.8392498325519089,presto_primary,cosine_nn
0.8,2201,0.8000727008360596,0.24806905951840072,0.7519309404815993,0.8343446601941747,presto_primary,cosine_nn
0.9,2476,0.9000363504180298,0.2403069466882068,0.7596930533117932,0.829561730163277,presto_primary,cosine_nn
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,cosine_nn
0.5,1376,0.500181752090149,0.24709302325581395,0.752906976744186,0.845031905195989,presto_primary,cosine_knn
0.7,1926,0.7001090512540894,0.2564901349948079,0.7435098650051921,0.837393021724819,presto_primary,cosine_knn
0.8,2201,0.8000727008360596,0.25079509313948206,0.749204906860518,0.8355184743742551,presto_primary,cosine_knn
0.9,2476,0.9000363504180298,0.24151857835218093,0.7584814216478191,0.8291428571428572,presto_primary,cosine_knn
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,cosine_knn
0.5,1376,0.500181752090149,0.2805232558139535,0.7194767441860466,0.818609022556391,presto_primary,mahalanobis
0.7,1926,0.7001090512540894,0.25960539979231567,0.7403946002076843,0.8364944408109876,presto_primary,mahalanobis
0.8,2201,0.8000727008360596,0.2557928214447978,0.7442071785552022,0.8345577431677931,presto_primary,mahalanobis
0.9,2476,0.9000363504180298,0.2451534733441034,0.7548465266558966,0.8273115220483641,presto_primary,mahalanobis
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,mahalanobis
0.5,1376,0.500181752090149,0.20712209302325582,0.7928779069767442,0.882182720132286,presto_primary,centroid
0.7,1926,0.7001090512540894,0.2398753894080997,0.7601246105919003,0.8525845564773452,presto_primary,centroid
0.8,2201,0.8000727008360596,0.2562471603816447,0.7437528396183553,0.8320428826682549,presto_primary,centroid
0.9,2476,0.9000363504180298,0.23990306946688206,0.760096930533118,0.82842287694974,presto_primary,centroid
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,centroid
0.5,1376,0.500181752090149,0.16279069767441862,0.8372093023255813,0.8943396226415095,presto_primary,entropy
0.7,1926,0.7001090512540894,0.1687435098650052,0.8312564901349948,0.8812568505663135,presto_primary,entropy
0.8,2201,0.8000727008360596,0.18355293048614266,0.8164470695138574,0.8688311688311688,presto_primary,entropy
0.9,2476,0.9000363504180298,0.20718901453957997,0.7928109854604201,0.8463611859838275,presto_primary,entropy
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,entropy
0.5,1376,0.500181752090149,0.16279069767441862,0.8372093023255813,0.8943396226415095,presto_primary,confidence
0.7,1926,0.7001090512540894,0.1687435098650052,0.8312564901349948,0.8812568505663135,presto_primary,confidence
0.8,2201,0.8000727008360596,0.18355293048614266,0.8164470695138574,0.8688311688311688,presto_primary,confidence
0.9,2476,0.9000363504180298,0.20718901453957997,0.7928109854604201,0.8463611859838275,presto_primary,confidence
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,confidence
0.5,1376,0.500181752090149,0.16279069767441862,0.8372093023255813,0.8943396226415095,presto_primary,margin
0.7,1926,0.7001090512540894,0.1687435098650052,0.8312564901349948,0.8812568505663135,presto_primary,margin
0.8,2201,0.8000727008360596,0.18355293048614266,0.8164470695138574,0.8688311688311688,presto_primary,margin
0.9,2476,0.9000363504180298,0.20718901453957997,0.7928109854604201,0.8463611859838275,presto_primary,margin
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,margin
0.5,1376,0.500181752090149,0.15313538205980068,0.8468646179401993,0.8895599870217386,presto_primary,vote_uncertainty
0.7,1926,0.7001090512540894,0.16796469366562825,0.8320353063343717,0.8775780510879848,presto_primary,vote_uncertainty
0.8,2201,0.8000727008360596,0.18302869325131932,0.8169713067486807,0.8656938424845485,presto_primary,vote_uncertainty
0.9,2476,0.9000363504180298,0.20124624971151628,0.7987537502884837,0.8471382242089579,presto_primary,vote_uncertainty
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,vote_uncertainty
0.5,1376,0.500181752090149,0.1620639534883721,0.8379360465116279,0.8951574988246357,presto_primary,tree_variance
0.7,1926,0.7001090512540894,0.16251298026998962,0.8374870197300104,0.8867992766726944,presto_primary,tree_variance
0.8,2201,0.8000727008360596,0.18355293048614266,0.8164470695138574,0.8681462140992167,presto_primary,tree_variance
0.9,2476,0.9000363504180298,0.2055735056542811,0.7944264943457189,0.8468251579897683,presto_primary,tree_variance
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,tree_variance
0.5,1376,0.500181752090149,0.28704798108867874,0.7129520189113212,0.7748961940966851,presto_primary,domain_probability
0.7,1926,0.7001090512540894,0.25849958063743106,0.7415004193625689,0.7988446245321098,presto_primary,domain_probability
0.8,2201,0.8000727008360596,0.24530370810470764,0.7546962918952924,0.8092651659516361,presto_primary,domain_probability
0.9,2476,0.9000363504180298,0.2350390673542935,0.7649609326457065,0.8173595006344672,presto_primary,domain_probability
1.0,2751,1.0,0.2268266085059978,0.7731733914940022,0.823828345567476,presto_primary,domain_probability
0.5,1376,0.500181752090149,0.27834302325581395,0.721656976744186,0.8298533984895602,galileo,euclidean_nn
0.7,1926,0.7001090512540894,0.2632398753894081,0.7367601246105919,0.8395061728395061,galileo,euclidean_nn
0.8,2201,0.8000727008360596,0.2616992276238074,0.7383007723761926,0.8401775804661488,galileo,euclidean_nn
0.9,2476,0.9000363504180298,0.26453957996768984,0.7354604200323102,0.8285789060455379,galileo,euclidean_nn
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,euclidean_nn
0.5,1376,0.500181752090149,0.25944767441860467,0.7405523255813953,0.8430769230769231,galileo,cosine_nn
0.7,1926,0.7001090512540894,0.26064382139148495,0.739356178608515,0.8412397216951296,galileo,cosine_nn
0.8,2201,0.8000727008360596,0.2612448886869605,0.7387551113130395,0.8406760875588806,galileo,cosine_nn
