representation,score,domain_auroc,domain_auprc,domain_target_prevalence,error_auroc,error_auprc,error_prevalence,sample_spearman,block_spearman,error_auroc_ci_low,error_auroc_ci_high,bootstrap_valid,aurc,risk_at_50,risk_at_70,risk_at_80,risk_at_90,risk_at_100
alphaearth,margin,0.7971820322430524,0.9607558498592564,0.8975530179445351,0.7552329720037124,0.4298862260581485,0.227917121046892,0.370892341292782,0.149313901857842,0.6807199056967503,0.8070996389849313,500,0.0984533866249811,0.0734011627906976,0.1583592938733125,0.1721944570649704,0.1954765751211631,0.227917121046892
alphaearth,vote_uncertainty,0.813191844540607,0.9635437978229228,0.8975530179445351,0.7948538312053032,0.5457564667818948,0.227917121046892,0.4284722836596799,0.2581188751847448,0.7407655826489578,0.8340123054388707,500,0.0888724961787564,0.0694320214669051,0.1240913811007269,0.1500832954717552,0.1829967689822294,0.227917121046892
alphaearth,tree_variance,0.7912687222017702,0.9513542217847788,0.8975530179445351,0.7361858249458607,0.3714417891150632,0.227917121046892,0.3432139386484252,-0.0247740554652024,0.648023731645963,0.7956261811283667,500,0.1025068583280066,0.0770348837209302,0.1692627206645898,0.186278964107224,0.2071890145395799,0.227917121046892
alphaearth,domain_probability,0.9999988423433748,0.9999998679127252,0.8975530179445351,0.4630057638532214,0.2135812071852527,0.227917121046892,-0.0607569887952619,-0.3391367322466233,0.4009153281073515,0.5190049142509008,500,0.2564917043700523,0.2452952876376988,0.23536645351697,0.2322628470312537,0.2298486523254825,0.227917121046892
presto_primary,euclidean_nn,0.8081323062603755,0.9609770486948176,0.8975530179445351,0.4411715067568382,0.1938106133018504,0.2268266085059978,-0.0853421984346346,-0.156009592524113,0.3667573682516027,0.5014359702767734,500,0.2637987528232888,0.2485465116279069,0.249221183800623,0.2417083144025443,0.2386914378029079,0.2268266085059978
presto_primary,cosine_nn,0.8009270514254226,0.9607801891043202,0.8975530179445351,0.4234257651923379,0.1882509718066859,0.2268266085059978,-0.1110858563621365,-0.1362573050586137,0.3486294471262995,0.4827041807798526,500,0.2786190149954884,0.2543604651162791,0.249221183800623,0.2480690595184007,0.2403069466882068,0.2268266085059978
presto_primary,cosine_knn,0.7043680699780278,0.943171071239044,0.8975530179445351,0.4380744970043277,0.1905821108015516,0.2268266085059978,-0.089835014875161,-0.1272181226591479,0.3568843803489786,0.5029214250750572,500,0.2614677536344407,0.2470930232558139,0.2564901349948079,0.250795093139482,0.2415185783521809,0.2268266085059978
presto_primary,mahalanobis,0.9572245877005928,0.9911707124989856,0.8975530179445351,0.3559334804045664,0.1699125332687794,0.2268266085059978,-0.208996573348916,-0.2845668533165151,0.2795444753410798,0.4145773669995923,500,0.3270405477265605,0.2805232558139535,0.2596053997923156,0.2557928214447978,0.2451534733441034,0.2268266085059978
presto_primary,centroid,0.5328496643953444,0.9013360448564158,0.8975530179445351,0.5060049063927766,0.2117979135888239,0.2268266085059978,0.0087112874170599,-0.170740111989909,0.38837700610213,0.603934533631455,500,0.2146923854371146,0.2071220930232558,0.2398753894080997,0.2562471603816447,0.239903069466882,0.2268266085059978
presto_primary,entropy,0.7506986457732798,0.9468580383678638,0.8975530179445351,0.6230282509372777,0.336754345799498,0.2268266085059978,0.1784764631429443,0.3498498373126568,0.5450119073816664,0.6958538839249877,500,0.1789222726731245,0.1627906976744186,0.1687435098650052,0.1835529304861426,0.2071890145395799,0.2268266085059978
presto_primary,confidence,0.7506986457732798,0.9468580383678638,0.8975530179445351,0.6230282509372777,0.336754345799498,0.2268266085059978,0.1784764631429443,0.4626722250393222,0.5450119073816664,0.6958538839249877,500,0.1789222726731245,0.1627906976744186,0.1687435098650052,0.1835529304861426,0.2071890145395799,0.2268266085059978
presto_primary,margin,0.7506986457732798,0.9468580383678638,0.8975530179445351,0.6230282509372777,0.336754345799498,0.2268266085059978,0.1784764631429443,0.4626722250393222,0.5450119073816664,0.6958538839249877,500,0.1789222726731245,0.1627906976744186,0.1687435098650052,0.1835529304861426,0.2071890145395799,0.2268266085059978
presto_primary,vote_uncertainty,0.7579716235208043,0.9443029015671376,0.8975530179445351,0.6332433727532458,0.3684105844275991,0.2268266085059978,0.1932986714821717,0.5661206458332083,0.5632187673187515,0.7021536255690728,500,0.1824172911323575,0.1531353820598006,0.1679646936656282,0.1830286932513193,0.2012462497115162,0.2268266085059978
presto_primary,tree_variance,0.7565170279712994,0.9475145377763916,0.8975530179445351,0.629851391751956,0.3474369244422954,0.2268266085059978,0.1883747591103549,0.3890196277103419,0.552466211861656,0.7016806931447307,500,0.1768043933569409,0.1620639534883721,0.1625129802699896,0.1835529304861426,0.2055735056542811,0.2268266085059978
presto_primary,domain_probability,0.9994732662355552,0.9999399314395044,0.8975530179445351,0.3944515267681699,0.1840181170641436,0.2268266085059978,-0.1574554697913761,-0.6789430335598737,0.3463563241336976,0.4349980592054691,500,0.2885915657514546,0.2870479810886787,0.258499580637431,0.2453037081047076,0.2350390673542935,0.2268266085059978
galileo,euclidean_nn,0.8367669428835375,0.9713523377180656,0.8975530179445351,0.443876226350848,0.225434901521404,0.247546346782988,-0.0839084414562111,-0.3356749793910726,0.3667822539513285,0.5170246030173578,500,0.2707619820442007,0.2783430232558139,0.2632398753894081,0.2616992276238074,0.2645395799676898,0.247546346782988
galileo,cosine_nn,0.8273731381987326,0.9681952300885566,0.8975530179445351,0.4590148758220009,0.2409201895839315,0.247546346782988,-0.0612752441558549,-0.2714501701802246,0.3804533478060412,0.5350860110411751,500,0.2666712455324306,0.2594476744186046,0.2606438213914849,0.2612448886869605,0.2588852988691438,0.247546346782988
galileo,cosine_knn,0.6982162826719641,0.9425004013885264,0.8975530179445351,0.4898504614555179,0.2513707390213739,0.247546346782988,-0.0151741749774843,-0.2211072858769297,0.4065358864186664,0.5659294647950274,500,0.2503931113965334,0.2456395348837209,0.2455867082035306,0.258973194002726,0.2609046849757673,0.247546346782988
galileo,mahalanobis,0.8366916952029024,0.970620526798866,0.8975530179445351,0.3726162860811395,0.1889924403420855,0.247546346782988,-0.1904463689247482,-0.5666501395998774,0.3110565716416851,0.4292667054624898,500,0.3162239722524938,0.3146802325581395,0.2840083073727933,0.2694229895502044,0.2726171243941842,0.247546346782988
galileo,centroid,0.543197956967588,0.905411988242466,0.8975530179445351,0.5061964857023274,0.2385954865473074,0.247546346782988,0.0092641214940088,-0.1572169808807216,0.4242095496785998,0.571613737371465,500,0.232721601328045,0.2311046511627907,0.2564901349948079,0.2666969559291231,0.2605008077544427,0.247546346782988
galileo,entropy,0.7443778405999439,0.947317844639702,0.8975530179445351,0.6198046351273703,0.3516783637565906,0.247546346782988,0.1791151871371404,0.0021742773951589,0.5696508867492209,0.6654976117519855,500,0.188140815767224,0.1780523255813953,0.2009345794392523,0.210358927760109,0.2269789983844911,0.247546346782988
galileo,confidence,0.7443778405999439,0.947317844639702,0.8975530179445351,0.6198046351273703,0.3516783637565906,0.247546346782988,0.1791151871371404,0.0966717180309117,0.5696508867492209,0.6654976117519855,500,0.188140815767224,0.1780523255813953,0.2009345794392523,0.210358927760109,0.2269789983844911,0.247546346782988
galileo,margin,0.7443778405999439,0.947317844639702,0.8975530179445351,0.6198046351273703,0.3516783637565906,0.247546346782988,0.1791151871371404,0.0966717180309117,0.5696508867492209,0.6654976117519855,500,0.188140815767224,0.1780523255813953,0.2009345794392523,0.210358927760109,0.2269789983844911,0.247546346782988
galileo,vote_uncertainty,0.7549524550424048,0.9499384911267572,0.8975530179445351,0.6462735959479878,0.4429749366211086,0.247546346782988,0.2186904055262122,0.2211072858769297,0.5998590903938069,0.6911876117223558,500,0.1814047360871513,0.1833212209302325,0.1868005076727818,0.1938629294376682,0.2108239095315024,0.247546346782988
galileo,tree_variance,0.7415543160911955,0.9457307616636283,0.8975530179445351,0.6229011045138224,0.3619933206610036,0.247546346782988,0.1837445964238272,0.0429837915812185,0.5748349379053944,0.6663509090665541,500,0.1872959920827294,0.1751453488372093,0.1988577362409138,0.2117219445706497,0.2249596122778675,0.247546346782988
galileo,domain_probability,0.995106585445478,0.9994265470801268,0.8975530179445351,0.3826019564862698,0.1962365377527499,0.247546346782988,-0.1765093175241154,-0.5893964261953861,0.3235507810210329,0.443433778475164,500,0.3184609361096477,0.3066860465116279,0.2866043613707165,0.2719014714503937,0.2583713931062836,0.247546346782988
