representation,score,domain_auroc,domain_auprc,domain_target_prevalence,error_auroc,error_auprc,error_prevalence,sample_spearman,block_spearman,error_auroc_ci_low,error_auroc_ci_high,bootstrap_valid,aurc,risk_at_50,risk_at_70,risk_at_80,risk_at_90,risk_at_100
presto_primary,euclidean_nn,0.8081323062603755,0.9609770486948175,0.8975530179445351,0.4411715067568382,0.19381061330185043,0.2268266085059978,-0.08534219843463468,-0.156009592524113,0.36675736825160277,0.5014359702767734,500,0.26379875282328885,0.24854651162790697,0.24922118380062305,0.2417083144025443,0.2386914378029079,0.2268266085059978
presto_primary,cosine_nn,0.8009270514254226,0.9607801891043202,0.8975530179445351,0.4234257651923379,0.18825097180668593,0.2268266085059978,-0.11108585636213658,-0.13625730505861372,0.3486294471262995,0.48270418077985267,500,0.27861901499548847,0.2543604651162791,0.24922118380062305,0.24806905951840072,0.2403069466882068,0.2268266085059978
presto_primary,cosine_knn,0.7043680699780278,0.943171071239044,0.8975530179445351,0.43807449700432777,0.19058211080155163,0.2268266085059978,-0.08983501487516102,-0.12721812265914792,0.3568843803489786,0.5029214250750572,500,0.26146775363444075,0.24709302325581395,0.2564901349948079,0.25079509313948206,0.24151857835218093,0.2268266085059978
presto_primary,mahalanobis,0.9572245877005929,0.9911707124989857,0.8975530179445351,0.35593348040456646,0.16991253326877942,0.2268266085059978,-0.20899657334891608,-0.2845668533165151,0.27954447534107985,0.4145773669995923,500,0.3270405477265605,0.2805232558139535,0.25960539979231567,0.2557928214447978,0.2451534733441034,0.2268266085059978
presto_primary,centroid,0.5328496643953444,0.9013360448564158,0.8975530179445351,0.5060049063927766,0.21179791358882394,0.2268266085059978,0.00871128741705992,-0.17074011198990907,0.38837700610213,0.603934533631455,500,0.21469238543711466,0.20712209302325582,0.2398753894080997,0.2562471603816447,0.23990306946688206,0.2268266085059978
presto_primary,entropy,0.7506986457732798,0.9468580383678638,0.8975530179445351,0.6230282509372777,0.336754345799498,0.2268266085059978,0.17847646314294432,0.34984983731265684,0.5450119073816664,0.6958538839249877,500,0.17892227267312455,0.16279069767441862,0.1687435098650052,0.18355293048614266,0.20718901453957997,0.2268266085059978
presto_primary,confidence,0.7506986457732798,0.9468580383678638,0.8975530179445351,0.6230282509372777,0.336754345799498,0.2268266085059978,0.17847646314294432,0.4626722250393222,0.5450119073816664,0.6958538839249877,500,0.17892227267312455,0.16279069767441862,0.1687435098650052,0.18355293048614266,0.20718901453957997,0.2268266085059978
presto_primary,margin,0.7506986457732798,0.9468580383678638,0.8975530179445351,0.6230282509372777,0.336754345799498,0.2268266085059978,0.17847646314294432,0.4626722250393222,0.5450119073816664,0.6958538839249877,500,0.17892227267312455,0.16279069767441862,0.1687435098650052,0.18355293048614266,0.20718901453957997,0.2268266085059978
presto_primary,vote_uncertainty,0.7579716235208043,0.9443029015671376,0.8975530179445351,0.6332433727532458,0.3684105844275991,0.2268266085059978,0.1932986714821717,0.5661206458332083,0.5632187673187515,0.7021536255690728,500,0.1824172911323575,0.15313538205980068,0.16796469366562825,0.18302869325131932,0.20124624971151628,0.2268266085059978
presto_primary,tree_variance,0.7565170279712994,0.9475145377763916,0.8975530179445351,0.629851391751956,0.34743692444229546,0.2268266085059978,0.1883747591103549,0.3890196277103419,0.552466211861656,0.7016806931447307,500,0.17680439335694093,0.1620639534883721,0.16251298026998962,0.18355293048614266,0.2055735056542811,0.2268266085059978
