representation,score,pool_quantile,actual_coverage,n,risk,f1
alphaearth,confidence,0.9,0.9218466012359142,2536,0.20110410094637224,0.8580968280467446
alphaearth,confidence,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,margin,0.5,0.5874227553616866,1616,0.1150990099009901,0.9354614850798056
alphaearth,margin,0.7,0.7808069792802618,2148,0.16620111731843576,0.892047172664046
alphaearth,margin,0.8,0.8487822609960014,2335,0.18458244111349037,0.8748911465892598
alphaearth,margin,0.9,0.9218466012359142,2536,0.20110410094637224,0.8580968280467446
alphaearth,margin,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,vote_uncertainty,0.5,0.589240276263177,1621,0.10178901912399753,0.9413854351687388
alphaearth,vote_uncertainty,0.7,0.7808069792802618,2148,0.14338919925512103,0.9030837004405287
alphaearth,vote_uncertainty,0.8,0.8473282442748091,2331,0.1625911625911626,0.8860835587616471
alphaearth,vote_uncertainty,0.9,0.920392584514722,2532,0.18838862559241706,0.8646040306556911
alphaearth,vote_uncertainty,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,tree_variance,0.5,0.5870592511813886,1615,0.11702786377708978,0.9342151061608075
alphaearth,tree_variance,0.7,0.757542711741185,2084,0.18186180422264875,0.8860835587616471
alphaearth,tree_variance,0.8,0.8593238822246456,2364,0.19712351945854484,0.8670849971477467
alphaearth,tree_variance,0.9,0.9276626681206834,2552,0.21512539184952978,0.8497948016415868
alphaearth,tree_variance,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,domain_probability,0.5,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,domain_probability,0.7,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,domain_probability,0.8,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,domain_probability,0.9,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,domain_probability,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
presto_primary,euclidean_nn,0.5,0.5467102871683024,1504,0.24867021276595744,0.8425925925925926
presto_primary,euclidean_nn,0.7,0.7484551072337332,2059,0.24283632831471588,0.8407643312101911
presto_primary,euclidean_nn,0.8,0.8404216648491457,2312,0.2435121107266436,0.8339722795635506
presto_primary,euclidean_nn,0.9,0.9298436932024718,2558,0.236903831118061,0.8276450511945392
presto_primary,euclidean_nn,1.0,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,cosine_nn,0.5,0.5296255906942929,1457,0.2546328071379547,0.8374945247481385
presto_primary,cosine_nn,0.7,0.727735368956743,2002,0.25124875124875123,0.8371641307866623
presto_primary,cosine_nn,0.8,0.8349691021446747,2297,0.24510230735742272,0.8335796630209873
presto_primary,cosine_nn,0.9,0.9156670301708469,2519,0.23858674077014688,0.8282366390397257
presto_primary,cosine_nn,1.0,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,cosine_knn,0.5,0.5387131952017448,1482,0.2496626180836707,0.8430873621713316
presto_primary,cosine_knn,0.7,0.7379134860050891,2030,0.25566502463054186,0.8360189573459715
presto_primary,cosine_knn,0.8,0.8255179934569248,2271,0.24702774108322326,0.8354356116163097
presto_primary,cosine_knn,0.9,0.9196655761541258,2530,0.2383399209486166,0.8280581693755347
presto_primary,cosine_knn,1.0,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,mahalanobis,0.5,0.5452562704471101,1500,0.274,0.8245838668373879
presto_primary,mahalanobis,0.7,0.7531806615776081,2072,0.25675675675675674,0.836105976586568
presto_primary,mahalanobis,0.8,0.8153398764085787,2243,0.2572447614801605,0.8322186682175051
presto_primary,mahalanobis,0.9,0.9087604507451835,2500,0.244,0.8267045454545454
presto_primary,mahalanobis,1.0,1.0,2751,0.2268266085059978,0.823828345567476
