representation,method,regime,budget,trees,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,n_seeds,f1_gain_over_source_mean,remaining_gap_to_target_full_mean
presto_primary,target_only,distributed,50,300,0.8146184473246774,0.030955904970157506,0.8143150544259601,0.07693895859173666,0.8125594984913439,0.04383517413190696,0.8584530023495002,0.03586680891215846,0.8821984422213556,0.025073393428951683,30,-0.013214940476896198,0.08908994462603415
presto_primary,target_only,distributed,100,300,0.8428334755224978,0.020950494673613793,0.8462928732799343,0.048468099114107724,0.8436111627626754,0.025740835501265442,0.891229358118885,0.01671758071959856,0.9042528679392323,0.013935484690919627,30,0.01783672379443535,0.0580382803547026
presto_primary,target_only,distributed,200,300,0.8482653657711657,0.013665134051454366,0.8770384062435819,0.025266619131170225,0.8620752408146524,0.010163769035097782,0.905906123412121,0.00670924268499146,0.9149432079046295,0.006276041994505776,30,0.03630080184641227,0.03957420230272568
presto_primary,target_only,distributed,250,300,0.8506010056591728,0.00866606465277493,0.8858903265557609,0.03117890300201205,0.8675650131089221,0.012814690100736834,0.9118744073447734,0.008399580088890817,0.9187343958849219,0.007168876739896519,5,0.04179057414068199,0.03408443000845596
presto_primary,target_only,distributed,500,300,0.8648747772674361,0.008772556861990941,0.9042513863216265,0.01596864402160308,0.8840005378842598,0.0068429438304871285,0.9223173747940728,0.0051359107951402215,0.9282131662784945,0.005764086654954374,30,0.05822609891601971,0.01764890523311824
temporal_reconstructed,coral,none,0,500,0.7165326001834129,0.0010675813219800936,0.9378927911275415,0.0015341835610583386,0.8124032686292344,0.0010133781780404503,0.7275288079600426,0.004221855871887873,0.7348335976851518,0.00379289531639858,5,-0.0024355256666147573,0.055671121781614374
temporal_reconstructed,importance,none,0,500,0.7707391049757262,0.0016283977022213683,0.8654343807763402,0.0038870758584319083,0.8153453564944853,0.002603196570194656,0.767589351651569,0.0040568750864733265,0.7965426526177442,0.0038278616795139097,5,0.0005065621986360958,0.05272903391636352
temporal_reconstructed,joint,clustered,20,300,0.7701951492269126,0.024286009881577572,0.8383035530909838,0.05384959608653935,0.8019748446006288,0.031403629441920815,0.7902464426120381,0.04220423376965699,0.8201141053645851,0.044160321595428785,30,-0.012863949695220311,0.06609954581021993
temporal_reconstructed,joint,clustered,50,300,0.7831854684522391,0.03356822606217432,0.8230642842472787,0.07206303981937816,0.8009616601716499,0.04259893876040323,0.7986988714242224,0.05219525785220314,0.8289728153592244,0.04928579590948295,30,-0.01387713412419922,0.06711273023919884
temporal_reconstructed,joint,clustered,100,300,0.787824478942168,0.037879628864275185,0.8230642842472787,0.055695506080744694,0.8035751990129955,0.03134864664589304,0.8112379812069118,0.03990785860594471,0.84249108090369,0.04146650455894406,30,-0.0112635952828537,0.06449919139785332
temporal_reconstructed,joint,clustered,200,300,0.8037682989208804,0.04133788010146843,0.811275415896488,0.07290753232434109,0.8048777096402782,0.03650745109570638,0.826465724681696,0.037704486357222726,0.8578401087598994,0.034382714055957976,30,-0.009961084655570995,0.06319668077057061
temporal_reconstructed,joint,clustered,250,300,0.813920212043761,0.046993870353326556,0.8568083795440542,0.04097373748538934,0.8333362327960258,0.020212413724893515,0.8673419658892778,0.026142635142932347,0.8913792736737562,0.015661060899825167,5,0.0184974385001766,0.03473815761482302
temporal_reconstructed,joint,clustered,500,300,0.8352037693733304,0.03373656992776144,0.822550831792976,0.054603111931001744,0.827292575122722,0.030491103454980586,0.8719730703291485,0.026173628637303846,0.8966963246037982,0.020325272093385655,30,0.012453780826872873,0.040781815288126744
temporal_reconstructed,joint,distributed,20,300,0.7739846479537856,0.014267766307073885,0.8522694598480182,0.030016707837406835,0.8109684928007594,0.01693029109281887,0.8151594379115813,0.022423273909276707,0.8453536602154718,0.023423032566552628,30,-0.003870301495089712,0.05710589761008933
temporal_reconstructed,joint,distributed,50,300,0.7871004664153489,0.01387913851949829,0.8565003080714726,0.03075668844513265,0.820033811614288,0.017313512434002764,0.8452241911849316,0.018178436989300956,0.8722106775192153,0.016494310396546676,30,0.005195017318438855,0.04804057879656076
temporal_reconstructed,joint,distributed,100,300,0.8064381690694037,0.014187272369439473,0.8553501745738344,0.016389452927713773,0.8300260809839117,0.010314301172181406,0.8643454427999401,0.012417478423886965,0.8892374704588132,0.011457014263525887,30,0.015187286688062573,0.038048309426937044
temporal_reconstructed,joint,distributed,200,300,0.8174233485561652,0.010566826456313056,0.8626822756212775,0.011886745340058106,0.8393308406037775,0.005298661897695216,0.8794208256315466,0.007165891297332691,0.8996799935370561,0.0067983892121564575,30,0.02449204630792834,0.028743549807071278
temporal_reconstructed,joint,distributed,250,300,0.8294705154182379,0.005447915315060777,0.85939617991374,0.0038576650258776274,0.8441607263888441,0.003847727979349931,0.8854619214920273,0.006292536110415914,0.9043309186068897,0.00601592093164073,5,0.02932193209299494,0.023913664022004677
temporal_reconstructed,joint,distributed,500,300,0.8414509798081197,0.009342101125837896,0.8641199424933251,0.0061417096489482055,0.8525880877654956,0.004736101395517545,0.8964053412164671,0.004439394093857923,0.9128765165178836,0.003940752566491032,30,0.037749293469646394,0.015486302645353223
temporal_reconstructed,pseudo_label,none,0,500,0.7595326096686013,0.010422848031293933,0.869747381392483,0.018559101016154125,0.810723423222323,0.003476563154226932,0.7704139956214523,0.006362117601344667,0.812373230145953,0.0059192955783594,5,-0.004115371073526108,0.057350967188525726
temporal_reconstructed,source_only,none,0,500,0.7704218682418899,0.001979461517627491,0.8646950092421442,0.003660739563157841,0.8148387942958492,0.0024330889994825518,0.7628198153319088,0.004251074726556474,0.7907691009105615,0.005939918043608727,5,0.0,0.05323559611499962
temporal_reconstructed,target_full,none,9249,500,0.9060573561780034,0.001447278622588384,0.8331484904497843,0.0017643648876495856,0.8680743904108488,0.0015225384311214549,0.9304613861905324,5.6721567547010786e-05,0.9401217612791791,0.0004784436962372819,5,0.05323559611499962,0.0
temporal_reconstructed,target_only,clustered,20,300,0.695115288122105,0.10646680811941361,0.7295543232696653,0.18034766974773012,0.7005827827091766,0.11657328872021333,0.6730082050430499,0.13988382430443247,0.7299572989843413,0.1163230428914766,30,-0.11425601158667253,0.16749160770167215
temporal_reconstructed,target_only,clustered,50,300,0.7084727654202735,0.09533023985324454,0.7272129800780448,0.18847244460407542,0.7044676499937295,0.12543080083394262,0.7160717172908938,0.13216298571072307,0.7689310106173266,0.10744947135948424,30,-0.1103711443021197,0.1636067404171193
temporal_reconstructed,target_only,clustered,100,300,0.7570572973083274,0.09226319596667386,0.7647771616348326,0.10798263077536717,0.7525423917133621,0.060740400799484145,0.7511691421629677,0.12530012491938858,0.790397709756131,0.11579607263456954,30,-0.06229640258248703,0.11553199869748665
